Source,Target,Type,Kind,Id,Label,timeset,Weight
@sachinr89592607,@befitting_monk,Directed,Retweet,7402,,<[2022-03-02T10:13:41.374Z]>,1
@gauravk46897443,@rishabh0066,Directed,Mention,7403,,<[2022-03-02T10:13:42.727Z]>,1
@gauravk46897443,@rishabh0066,Directed,Retweet,7404,,<[2022-03-02T10:13:42.727Z]>,1
@rajkhan22517495,@_kartik_kc,Directed,Mention,7405,,<[2022-03-02T10:13:43.238Z]>,1
@rajkhan22517495,@_kartik_kc,Directed,Retweet,7406,,<[2022-03-02T10:13:43.238Z]>,1
@safiahamad,@justtimepassin,Directed,Mention,7407,,<[2022-03-02T10:13:44.058Z]>,1
@safiahamad,@justtimepassin,Directed,Retweet,7408,,<[2022-03-02T10:13:44.058Z]>,1
@sachinr89592607,@shahidtells,Directed,Mention,7409,,<[2022-03-02T10:13:44.299Z]>,1
@sachinr89592607,@shahidtells,Directed,Retweet,7410,,<[2022-03-02T10:13:44.299Z]>,1
@djsprakash05,@rishusi55,Directed,Mention,7411,,<[2022-03-02T10:13:44.401Z]>,1
@djsprakash05,@rishusi55,Directed,Retweet,7412,,<[2022-03-02T10:13:44.401Z]>,1
@ajdutta,@ashoswai,Directed,Mention,7413,,<[2022-03-02T10:13:45.021Z]>,1
@ajdutta,@ashoswai,Directed,Retweet,7414,,<[2022-03-02T10:13:45.024Z]>,1
@niyat___,@mas_742,Directed,Mention,7415,,<[2022-03-02T10:13:45.698Z]>,1
@niyat___,@mas_742,Directed,Retweet,7416,,<[2022-03-02T10:13:45.698Z]>,1
@anshu58049881,@musklegacy,Directed,Mention,7417,,<[2022-03-02T10:13:45.904Z]>,1
@anshu58049881,@musklegacy,Directed,Retweet,7418,,<[2022-03-02T10:13:45.904Z]>,1
@indirapgandhi,@trulydipesh,Directed,Mention,7419,,<[2022-03-02T10:13:45.998Z]>,1
@indirapgandhi,@trulydipesh,Directed,Retweet,7420,,<[2022-03-02T10:13:45.998Z]>,1
@rksinghrkousik1,@befitting_monk,Directed,Mention,7421,,<[2022-03-02T10:13:46.119Z]>,1
@rksinghrkousik1,@befitting_monk,Directed,Retweet,7422,,<[2022-03-02T10:13:46.119Z]>,1
@srini075,@sumityadav727,Directed,Mention,7423,,<[2022-03-02T10:13:47.434Z]>,1
@srini075,@sumityadav727,Directed,Retweet,7424,,<[2022-03-02T10:13:47.434Z]>,1
@glenwayne_,@aliensaliensali,Directed,Mention,7425,,<[2022-03-02T10:13:47.745Z]>,1
@glenwayne_,@aliensaliensali,Directed,Retweet,7426,,<[2022-03-02T10:13:47.745Z]>,1
@indian_avnish,@sunny_rajput87,Directed,Mention,7427,,<[2022-03-02T10:13:48.817Z]>,1
@indian_avnish,@sunny_rajput87,Directed,Retweet,7428,,<[2022-03-02T10:13:48.817Z]>,1
@talhapubgg,@funny__blog1,Directed,Mention,7429,,<[2022-03-02T10:13:48.873Z]>,1
@talhapubgg,@funny__blog1,Directed,Retweet,7430,,<[2022-03-02T10:13:48.873Z]>,1
@kishannagadiya,@abdulra63001962,Directed,Mention,7431,,<[2022-03-02T10:13:50.194Z]>,1
@kishannagadiya,@abdulra63001962,Directed,Retweet,7432,,<[2022-03-02T10:13:50.194Z]>,1
@dasjisnudeep,@trulydipesh,Directed,Mention,7434,,<[2022-03-02T10:13:50.908Z]>,1
@dasjisnudeep,@trulydipesh,Directed,Retweet,7435,,<[2022-03-02T10:13:50.908Z]>,1
@safiahamad,@trulydipesh,Directed,Mention,7436,,<[2022-03-02T10:13:51.738Z]>,1
@safiahamad,@trulydipesh,Directed,Retweet,7437,,<[2022-03-02T10:13:51.738Z]>,1
@engdika23_,@bbcswahili,Directed,Quote,7438,,<[2022-03-02T10:13:53.381Z]>,1
